story_id,feature,user_story,expected_behaviour,entry_point,status,error_notes_round1,error_notes_round2,defect_type,fix_applied
CLI-001,CLI root help,As a user I run the CLI with no args or --help,Shows usage with commands extract batch list validate-config convert suggest-schema check-provider; exit 0,python -m nextract.cli --help,pass,,,none,
CLI-002,CLI version,As a user I pass --version or -V,Prints 'nextract <version>' (from package metadata or unknown) and exits 0,python -m nextract.cli --version,pass,nextract 0.2.0b4,nextract 0.2.0b4,none,
CLI-003,CLI module entry,As a user I invoke python -m nextract.cli,Same Typer app as console script nextract,python -m nextract.cli,pass,,,none,
CLI-004,extract help,As a user I request extract --help,Shows required --schema document arg and options extractor provider model chunker passes output,python -m nextract.cli extract --help,pass,,,none,
CLI-005,extract missing schema,As a user I call extract without --schema,Typer exits non-zero with missing option error,python -m nextract.cli extract <doc>,pass,exit=2,exit=2,none,
CLI-006,extract missing document,As a user I call extract with nonexistent path,Typer rejects path (exists=True); non-zero exit,python -m nextract.cli extract /no/such/file --schema s.json,pass,exit=2,,none,
CLI-007,extract invalid schema JSON,As a user I pass a non-JSON schema file,Exit 1; stderr starts with 'Error:' and JSON decode detail,python -m nextract.cli extract doc --schema bad.json,pass,exit=1 out=Error: Expecting property name enclosed in double quotes: line 1 column 2 (char 1) | ,Error: Expecting property name enclosed in double quotes: line 1 column 2 (char 1) | ,none,
CLI-008,extract bad extractor-params,As a user I pass --extractor-params without key=value,BadParameter 'Invalid param'; exit non-zero,python -m nextract.cli extract ... --extractor-params notkv,pass,exit=2 out=Warning: credentials for provider 'openai' may be missing. Unset env vars: OPENAI_API_KEY. Set them or pass api_key in ProviderConfig. | Usage: root extract [OPTIONS] DOCUMENT | Try 'root extract --help' for help. | ╭─ Error ──────────────────────────────────────────────────────────────────────╮ | │ Invalid value: Invalid param 'notkv'. Use key=value.                         │ | ╰───────────────────────────,Usage: root extract [OPTIONS] DOCUMENT | Try 'root extract --help' for help. | ╭─ Error ──────────────────────────────────────────────────────────────────────╮ | │ Invalid value: Invalid param 'notkv'. Use key=value.                         │ | ╰──────────────────────────────────────────────────────────────,none,
CLI-009,extract auto text mode,As a user I extract a .txt with --extractor auto,Resolves to text extractor + semantic chunker; runs pipeline (needs provider creds for success),python -m nextract.cli extract sample.txt -s schema.json --extractor auto,blocked,Missing OPENAI_API_KEY for live extract,Missing OPENAI_API_KEY,env_blocked,
CLI-010,extract auto image mode,As a user I extract a .png with --extractor auto,Resolves to vlm + page chunker via _detect_extraction_mode,code path: auto→visual→vlm/page,pass,mode=visual ext=vlm ch=page,visual/vlm/page,none,
